Model,Brier score,Mean predicted probability,Observed prevalence
Gradient Boosting,0.12814201934522657,0.18277799232711303,0.18312523647370413
Random Forest,0.12855958771213488,0.18350399028993541,0.18312523647370413
Neural Network,0.1298761339179047,0.1803749085853965,0.18312523647370413
Logistic Regression,0.13117457428363993,0.18518576558065517,0.18312523647370413
Dummy Baseline,0.14959038424015406,0.18312523647370413,0.18312523647370413
