Analysis,Cohort,Participants,Mean PR-AUC,PR-AUC SD,Mean ROC-AUC,ROC-AUC SD
All 13 predictors,Full imputed training cohort,10572,0.4301671357197769,0.04601801856005769,0.7616428320111932,0.018494332984002264
Without self-rated teeth condition,Full imputed training cohort,10572,0.35152757570029264,0.033921874635818944,0.7181376998867941,0.022991588519539065
Without race/ethnicity,Full imputed training cohort,10572,0.42299995547294966,0.03751778528856585,0.7564917112249641,0.01585265717078386
Complete-income participants,Reported-income participants only,9223,0.4297193965104643,0.0300145704069959,0.766279835777501,0.0124803067127748
