Model,Initial PR-AUC,Tuned PR-AUC,PR-AUC change
Random Forest,0.37232005834973386,0.43019640631791106,0.0578763479681772
Neural Network,0.4212213696065419,0.42338578783613023,0.0021644182295883496
Gradient Boosting,0.42825263829184806,0.4301671357197769,0.0019144974279288185
Logistic Regression,0.4042303720765378,0.4051780861958469,0.0009477141193091065
