Fold,Full cohort PR-AUC,Without self-rating PR-AUC,Without race PR-AUC,Complete-income PR-AUC (separate cohort),Full cohort ROC-AUC,Without self-rating ROC-AUC,Without race ROC-AUC,Complete-income ROC-AUC (separate cohort),Self-rating PR-AUC difference,Race PR-AUC difference
1,0.452785198965464,0.375644409167172,0.4462430418998069,0.39400810774832096,0.7732341312565796,0.7305745466073309,0.7669611027371039,0.7507870787078708,0.07714078979829198,0.006542157065657084
2,0.4180888547503341,0.3255092740163947,0.3999775673324546,0.44073062290137194,0.7589071985864291,0.708280105540267,0.7491560658790943,0.7755265526552655,0.0925795807339394,0.018111287417879485
3,0.4972320471626247,0.3978330986769954,0.47712847671983455,0.4479259848365307,0.7868089875199932,0.7519813750001869,0.7790877221331969,0.7807840784078408,0.0993989484856293,0.020103570442790153
4,0.3790314218795865,0.31897810567618123,0.38707178114134067,0.46341602708063423,0.7419634053466078,0.6947350860104526,0.7439563760849496,0.7673001481125655,0.06005331620340526,-0.00804035926175417
5,0.40369815584087543,0.33967299096472003,0.4045789102713116,0.4025162399854637,0.7473004373463565,0.7051173862757332,0.7432972892904754,0.757001321003963,0.0640251648761554,-0.0008807544304361703
