Model,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,recall_mean,recall_std,precision_mean,precision_std,f1_mean,f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,fit_time_seconds
Random Forest,0.43019640631791106,0.031228949106922005,0.7546984015224393,0.015217333246956585,0.13895548629425397,0.022775961340573782,0.5889296625765417,0.05942333646339522,0.22438614094810702,0.0327199180095377,0.5586512255829502,0.011594765535252754,0.8246309753059083,0.0052322325569232825,5.801993179321289
Gradient Boosting,0.4301671357197769,0.04115976707605439,0.7616428320111932,0.016541834300298236,0.1632262447055063,0.015908229488220463,0.5792814451602417,0.062319170964874215,0.25442256580971734,0.02416103156272848,0.5681810307359482,0.009575410474683724,0.824819832211688,0.006446570442416808,0.6927670955657959
Neural Network,0.42338578783613023,0.042100592262397256,0.7469054708150527,0.01733140896325616,0.12812142038946162,0.0438824740866185,0.6052669189390445,0.08115831074844473,0.20816535706596015,0.05942978623976598,0.5544494033899525,0.020246321707355373,0.8246309753059083,0.006957807133107279,4.569906377792359
Logistic Regression,0.4051780861958469,0.03587646928915984,0.740673679001145,0.015187166736242905,0.11828897946136019,0.01565091532293516,0.5981405602769667,0.09367599474901839,0.1972065372007101,0.02538784919545814,0.5500548204797847,0.009297129067950749,0.8236852146335026,0.006060336415220085,0.02530975341796875
Dummy Baseline,0.18312521946451776,0.00018622737548338762,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.8168747805354822,0.00018622737548339437,0.020879507064819336
