Feature group,Columns moved together,Mean PR-AUC decrease,Permutation SD,2.5th percentile,97.5th percentile
Self-rated teeth condition,teeth_condition_ord,0.18535197996329175,0.008857564796977021,0.1686220166986211,0.20099559242242684
Age,age,0.04223034062407624,0.008762328995662446,0.028807423747771472,0.058046003393699905
Dental-visit recency,dental_visit_recency_ord,0.029505169861797482,0.007552744812155591,0.016788390339989946,0.04324998398464809
Race/ethnicity,"race_mexican_american, race_other_hispanic, race_non-hispanic_black, race_non-hispanic_asian, race_other_multi",0.02148089495252815,0.004953368453297718,0.014581478963989435,0.03130993339177973
Income (value + missingness),"income_poverty_ratio, income_poverty_ratio_missing",0.020220583334191973,0.0066280091229323325,0.008404499886319515,0.03382525876622813
Female sex,sex_female,0.0029809088777585312,0.001999978971551073,0.00017060823392135596,0.0071824295960655204
Diabetes status,"diabetes_yes, diabetes_borderline",-0.0008877940397604533,0.001684331181998901,-0.004714025481249283,0.0015164624023860506
