Dimension,Group,Participants,Cavity cases,Calibration intercept,Calibration slope
Age group,18–34,474,111,0.015153148289552295,1.002835537465605
Age group,50–64,449,103,0.032086551784428034,0.858719116181095
Sex,Female,1342,230,0.16383719302152966,1.1159411557526795
Sex,Male,1301,254,0.057605788040017196,1.0393941537907467
Race/ethnicity,Non-Hispanic White,903,142,0.5473863964686396,1.4002009526195818
Race/ethnicity,Non-Hispanic Black,693,178,0.23472395011116906,1.1013520602601534
Income group,Below poverty (<1.00),548,146,0.19818907181351292,1.0989171427172209
Income group,Near poverty (1.00–1.99),625,137,0.07683463557657555,1.016053133286549
